"species_id","hectad_id","week_no","nrec"
"28",3,37,2
"28",3,38,4
"28",3,39,2
"28",3,40,2
"29",3,32,1
"29",3,33,2
"29",3,34,3
"29",3,35,3
"29",3,36,6
"29",3,37,5
"29",3,38,5
"29",3,39,1
"29",3,40,1
"35",3,18,1
"35",3,19,1
"35",3,20,1
"36",3,11,1
"36",3,12,1
"36",3,13,1
"36",3,18,1
"36",3,19,1
"36",3,20,1
"36",3,22,1
"36",3,23,2
"36",3,24,2
"36",3,25,1
"37",3,11,1
"37",3,12,1
"37",3,13,1
"37",3,15,1
"37",3,16,1
"37",3,17,1
"37",3,25,1
"37",3,26,1
"37",3,27,1
"37",3,31,1
"37",3,32,1
"37",3,33,1
"37",3,38,1
"37",3,39,1
"37",3,40,1
"38",3,23,1
"38",3,24,1
"38",3,25,2
"38",3,26,1
"38",3,27,1
"38",3,28,1
"38",3,29,2
"38",3,30,2
"38",3,31,1
"38",3,33,1
"38",3,34,1
"38",3,35,2
"38",3,36,6
"38",3,37,6
"38",3,38,5
"38",3,40,1
"38",3,41,1
"38",3,42,2
"38",3,43,1
"38",3,44,1
"4",3,26,1
"4",3,27,4
"4",3,28,4
"4",3,29,6
"4",3,30,3
"4",3,31,4
"4",3,32,9
"4",3,33,11
"4",3,34,10
"4",3,35,5
"4",3,36,6
"4",3,37,8
"4",3,38,10
"4",3,39,7
"4",3,40,5
"4",3,41,1
"4",3,42,1
"4",3,43,1
"40",3,15,1
"40",3,16,1
"40",3,17,2
"40",3,18,4
"40",3,19,5
"40",3,20,4
"40",3,21,1
"40",3,26,1
"40",3,27,3
"40",3,28,7
"40",3,29,6
"40",3,30,4
"40",3,36,1
"40",3,37,2
"40",3,38,5
"40",3,39,5
"40",3,40,4
"40",3,41,1
"40",3,42,1
"40",3,43,1
"40",3,44,1
"40",3,49,1
"40",3,50,1
"40",3,51,1
"47",3,35,1
"47",3,36,1
"47",3,37,1
"5",3,23,1
"5",3,24,1
"5",3,25,1
"5",3,26,1
"5",3,27,1
"5",3,28,1
"5",3,29,2
"5",3,30,2
"5",3,31,3
"5",3,32,5
"5",3,33,6
"5",3,34,5
"5",3,35,3
"5",3,36,3
"5",3,37,3
"5",3,38,5
"5",3,39,4
"5",3,40,4
"51",3,38,1
"51",3,39,1
"51",3,40,1
"52",3,1,1
"52",3,2,2
"52",3,3,2
"52",3,4,1
"52",3,8,1
"52",3,9,1
"52",3,10,1
"52",3,11,1
"52",3,12,1
"52",3,13,1
"52",3,17,1
"52",3,18,2
"52",3,19,2
"52",3,20,2
"52",3,21,2
"52",3,22,2
"52",3,23,1
"52",3,24,1
"52",3,25,2
"52",3,26,5
"52",3,27,6
"52",3,28,6
"52",3,29,6
"52",3,30,6
"52",3,31,7
"52",3,32,7
"52",3,33,6
"52",3,34,6
"52",3,35,5
"52",3,36,6
"52",3,37,4
"52",3,38,4
"52",3,39,3
"52",3,40,5
"52",3,41,4
"52",3,42,4
"52",3,43,4
"52",3,44,5
"52",3,45,5
"52",3,46,3
"52",3,47,3
"52",3,48,3
"52",3,49,3
"52",3,50,1
"15",4,42,2
"15",4,43,2
"15",4,44,2
"21",4,28,1
"21",4,29,1
"21",4,30,1
"21",4,33,1
"21",4,34,1
"21",4,35,1
"28",4,33,1
"28",4,34,1
"28",4,35,2
"28",4,36,1
"28",4,37,1
"28",4,42,3
"28",4,43,3
"28",4,44,3
"29",4,28,1
"29",4,29,1
"29",4,30,2
"29",4,31,1
"29",4,32,1
"29",4,35,1
"29",4,36,1
"29",4,37,2
"29",4,38,1
"29",4,39,1
"37",4,38,2
"37",4,39,2
"37",4,40,2
"38",4,27,1
"38",4,28,2
"38",4,29,2
"38",4,30,2
"38",4,31,1
"38",4,32,1
"38",4,33,1
"38",4,34,1
"38",4,35,2
"38",4,36,1
"38",4,37,2
"38",4,38,1
"38",4,39,1
"38",4,41,1
"38",4,42,2
"38",4,43,2
"38",4,44,1
"4",4,28,1
"4",4,29,1
"4",4,30,2
"4",4,31,1
"4",4,32,1
"4",4,33,1
"4",4,34,1
"4",4,35,2
"4",4,36,1
"4",4,37,2
"4",4,38,1
"4",4,39,1
"4",4,42,1
"4",4,43,1
"4",4,44,1
"40",4,26,1
"40",4,27,1
"40",4,28,2
"40",4,29,1
"40",4,30,2
"40",4,31,1
"40",4,32,1
"40",4,35,1
"40",4,36,1
"40",4,37,1
"40",4,42,3
"40",4,43,3
"40",4,44,3
"41",4,42,1
"41",4,43,1
"41",4,44,1
"47",4,30,1
"47",4,31,1
"47",4,32,1
"47",4,33,1
"47",4,34,1
"47",4,35,1
"5",4,28,1
"5",4,29,1
"5",4,30,2
"5",4,31,1
"5",4,32,1
"5",4,33,1
"5",4,34,1
"5",4,35,2
"5",4,36,1
"5",4,37,2
"5",4,38,1
"5",4,39,1
"5",4,42,3
"5",4,43,3
"5",4,44,3
"52",4,1,1
"52",4,2,1
"52",4,3,1
"52",4,4,1
"52",4,5,2
"52",4,6,2
"52",4,7,1
"52",4,11,1
"52",4,12,3
"52",4,13,3
"52",4,14,2
"52",4,23,1
"52",4,24,2
"52",4,25,2
"52",4,26,1
"52",4,32,2
"52",4,33,3
"52",4,34,3
"52",4,35,1
"52",4,37,2
"52",4,38,2
"52",4,39,2
"52",4,44,1
"52",4,45,1
"52",4,46,1
"52",4,47,2
"52",4,48,2
"52",4,49,2
"8",4,33,2
"8",4,34,2
"8",4,35,2
"1",5,18,1
"1",5,19,1
"1",5,20,1
"15",5,21,1
"15",5,22,1
"15",5,23,5
"15",5,24,4
"15",5,25,5
"15",5,26,1
"15",5,27,3
"15",5,28,5
"15",5,29,10
"15",5,30,8
"15",5,31,5
"15",5,32,4
"15",5,33,4
"15",5,34,5
"15",5,35,1
"15",5,36,4
"15",5,37,4
"15",5,38,6
"15",5,39,3
"15",5,40,3
"15",5,41,1
"15",5,42,1
"16",5,41,1
"16",5,42,1
"16",5,43,1
"18",5,35,2
"18",5,36,2
"18",5,37,2
"18",5,49,1
"18",5,50,1
"18",5,51,1
"21",5,19,1
"21",5,20,1
"21",5,21,1
"21",5,25,1
"21",5,26,1
"21",5,27,2
"21",5,28,1
"21",5,29,3
"21",5,30,2
"21",5,31,2
"26",5,26,2
"26",5,27,2
"26",5,28,2
"26",5,32,1
"26",5,33,1
"26",5,34,1
"28",5,16,3
"28",5,17,4
"28",5,18,4
"28",5,19,1
"28",5,25,1
"28",5,26,1
"28",5,27,1
"28",5,29,8
"28",5,30,8
"28",5,31,8
"28",5,32,4
"28",5,33,6
"28",5,34,8
"28",5,35,5
"28",5,36,6
"28",5,37,9
"28",5,38,11
"28",5,39,8
"28",5,40,4
"28",5,41,1
"28",5,42,2
"28",5,43,1
"28",5,44,1
"28",5,45,1
"28",5,46,1
"28",5,47,1
"35",5,16,1
"35",5,17,2
"35",5,18,2
"35",5,19,1
"35",5,23,2
"35",5,24,2
"35",5,25,2
"35",5,29,1
"35",5,30,1
"35",5,31,1
"35",5,36,1
"35",5,37,1
"35",5,38,1
"36",5,15,2
"36",5,16,3
"36",5,17,4
"36",5,18,2
"36",5,19,1
"36",5,23,2
"36",5,24,2
"36",5,25,2
"36",5,29,1
"36",5,30,2
"36",5,31,2
"36",5,32,1
"36",5,34,1
"36",5,35,1
"36",5,36,1
"36",5,40,1
"36",5,41,1
"36",5,42,1
"37",5,12,1
"37",5,13,1
"37",5,14,1
"37",5,15,1
"37",5,16,2
"37",5,17,3
"37",5,18,3
"37",5,19,2
"37",5,20,1
"37",5,34,1
"37",5,35,1
"37",5,36,1
"38",5,16,1
"38",5,17,2
"38",5,18,2
"38",5,19,2
"38",5,20,1
"38",5,21,1
"38",5,22,1
"38",5,23,2
"38",5,24,3
"38",5,25,4
"38",5,26,3
"38",5,27,4
"38",5,28,5
"38",5,29,10
"38",5,30,8
"38",5,31,8
"38",5,32,6
"38",5,33,8
"38",5,34,6
"38",5,35,6
"38",5,36,8
"38",5,37,12
"38",5,38,11
"38",5,39,9
"38",5,40,4
"38",5,41,3
"38",5,42,1
"38",5,43,1
"4",5,22,2
"4",5,23,2
"4",5,24,3
"4",5,25,3
"4",5,26,5
"4",5,27,6
"4",5,28,4
"4",5,29,7
"4",5,30,8
"4",5,31,9
"4",5,32,10
"4",5,33,8
"4",5,34,11
"4",5,35,7
"4",5,36,7
"4",5,37,6
"4",5,38,8
"4",5,39,7
"4",5,40,6
"4",5,41,3
"4",5,42,3
"4",5,43,1
"4",5,45,1
"4",5,46,1
"4",5,47,1
"40",5,16,1
"40",5,17,2
"40",5,18,2
"40",5,19,1
"40",5,25,1
"40",5,26,1
"40",5,27,1
"40",5,29,3
"40",5,30,3
"40",5,31,4
"40",5,32,5
"40",5,33,6
"40",5,34,7
"40",5,35,4
"40",5,36,3
"40",5,37,1
"40",5,38,2
"40",5,39,2
"40",5,40,2
"41",5,32,1
"41",5,33,1
"41",5,34,1
"41",5,43,1
"41",5,44,1
"41",5,45,2
"41",5,46,1
"41",5,47,1
"47",5,31,2
"47",5,32,2
"47",5,33,3
"47",5,34,1
"47",5,35,1
"49",5,18,1
"49",5,19,1
"49",5,20,1
"5",5,16,1
"5",5,17,1
"5",5,18,1
"5",5,22,1
"5",5,23,1
"5",5,24,1
"5",5,25,2
"5",5,26,4
"5",5,27,6
"5",5,28,4
"5",5,29,8
"5",5,30,7
"5",5,31,8
"5",5,32,6
"5",5,33,6
"5",5,34,8
"5",5,35,4
"5",5,36,5
"5",5,37,6
"5",5,38,8
"5",5,39,6
"5",5,40,4
"5",5,41,2
"5",5,42,2
"51",5,2,1
"51",5,3,1
"51",5,4,3
"51",5,5,2
"51",5,6,2
"51",5,8,2
"51",5,9,3
"51",5,10,3
"51",5,11,1
"51",5,15,1
"51",5,16,1
"51",5,17,1
"51",5,22,1
"51",5,23,4
"51",5,24,4
"51",5,25,3
"51",5,27,2
"51",5,28,4
"51",5,29,4
"51",5,30,3
"51",5,31,3
"51",5,32,4
"51",5,33,4
"51",5,34,3
"51",5,35,2
"51",5,36,3
"51",5,37,5
"51",5,38,5
"51",5,39,3
"51",5,40,1
"51",5,41,1
"51",5,42,2
"51",5,43,1
"51",5,44,1
"51",5,49,1
"51",5,50,1
"51",5,51,1
"52",5,1,4
"52",5,2,6
"52",5,3,7
"52",5,4,7
"52",5,5,10
"52",5,6,7
"52",5,7,5
"52",5,8,3
"52",5,9,4
"52",5,10,5
"52",5,11,5
"52",5,12,8
"52",5,13,8
"52",5,14,8
"52",5,15,4
"52",5,16,5
"52",5,17,5
"52",5,18,7
"52",5,19,7
"52",5,20,6
"52",5,21,5
"52",5,22,6
"52",5,23,9
"52",5,24,14
"52",5,25,17
"52",5,26,17
"52",5,27,19
"52",5,28,17
"52",5,29,21
"52",5,30,23
"52",5,31,23
"52",5,32,15
"52",5,33,18
"52",5,34,18
"52",5,35,20
"52",5,36,10
"52",5,37,13
"52",5,38,15
"52",5,39,18
"52",5,40,18
"52",5,41,24
"52",5,42,28
"52",5,43,26
"52",5,44,20
"52",5,45,13
"52",5,46,10
"52",5,47,10
"52",5,48,12
"52",5,49,14
"52",5,50,13
"52",5,51,14
"52",5,52,10
"52",5,53,8
"7",5,29,1
"7",5,30,1
"7",5,31,1
"8",5,16,1
"8",5,17,1
"8",5,18,1
"8",5,23,2
"8",5,24,2
"8",5,25,2
"8",5,28,1
"8",5,29,1
"8",5,30,2
"8",5,31,1
"8",5,32,2
"8",5,33,1
"8",5,34,6
"8",5,35,6
"8",5,36,6
"8",5,37,2
"8",5,38,1
"8",5,39,2
"8",5,40,2
"8",5,41,3
"8",5,42,2
"8",5,43,1
"15",6,24,2
"15",6,25,3
"15",6,26,3
"15",6,27,3
"15",6,28,2
"15",6,29,3
"15",6,30,2
"15",6,31,2
"15",6,32,1
"15",6,34,1
"15",6,35,1
"15",6,36,1
"15",6,37,1
"15",6,38,1
"15",6,39,1
"15",6,41,2
"15",6,42,2
"15",6,43,2
"21",6,19,1
"21",6,20,1
"21",6,21,1
"21",6,22,1
"21",6,23,1
"21",6,24,1
"21",6,27,2
"21",6,28,2
"21",6,29,2
"28",6,27,1
"28",6,28,1
"28",6,29,2
"28",6,30,1
"28",6,31,2
"28",6,32,1
"28",6,33,2
"28",6,34,1
"28",6,35,1
"28",6,36,4
"28",6,37,6
"28",6,38,6
"28",6,39,2
"28",6,41,1
"28",6,42,2
"28",6,43,2
"28",6,44,1
"29",6,37,1
"29",6,38,1
"29",6,39,1
"35",6,19,3
"35",6,20,3
"35",6,21,4
"35",6,22,1
"35",6,23,1
"36",6,23,1
"36",6,24,1
"36",6,25,1
"36",6,27,1
"36",6,28,1
"36",6,29,1
"36",6,36,1
"36",6,37,1
"36",6,38,1
"37",6,23,1
"37",6,24,1
"37",6,25,1
"38",6,27,2
"38",6,28,2
"38",6,29,2
"38",6,30,1
"38",6,31,2
"38",6,32,3
"38",6,33,2
"38",6,34,1
"38",6,35,1
"38",6,36,2
"38",6,37,3
"38",6,38,2
"38",6,39,1
"4",6,27,4
"4",6,28,4
"4",6,29,5
"4",6,30,1
"4",6,31,1
"4",6,32,1
"4",6,33,1
"4",6,34,1
"4",6,36,2
"4",6,37,3
"4",6,38,4
"4",6,39,2
"4",6,40,1
"40",6,4,1
"40",6,5,1
"40",6,6,1
"40",6,24,1
"40",6,25,1
"40",6,26,1
"40",6,27,2
"40",6,28,2
"40",6,29,2
"40",6,31,1
"40",6,32,2
"40",6,33,2
"40",6,34,1
"40",6,38,1
"40",6,39,1
"40",6,40,1
"40",6,41,2
"40",6,42,2
"40",6,43,2
"41",6,37,1
"41",6,38,1
"41",6,39,1
"47",6,24,2
"47",6,25,2
"47",6,26,2
"47",6,27,1
"47",6,28,1
"47",6,29,1
"47",6,32,2
"47",6,33,2
"47",6,34,2
"5",6,24,1
"5",6,25,1
"5",6,26,1
"5",6,27,4
"5",6,28,4
"5",6,29,4
"5",6,30,1
"5",6,31,1
"5",6,32,2
"5",6,33,1
"5",6,34,1
"5",6,36,3
"5",6,37,4
"5",6,38,4
"5",6,39,1
"5",6,41,1
"5",6,42,1
"5",6,43,1
"52",6,2,1
"52",6,3,1
"52",6,4,1
"52",6,7,1
"52",6,8,1
"52",6,9,1
"52",6,14,1
"52",6,15,1
"52",6,16,2
"52",6,17,1
"52",6,18,2
"52",6,19,1
"52",6,20,1
"52",6,21,2
"52",6,22,2
"52",6,23,3
"52",6,24,1
"52",6,25,2
"52",6,26,3
"52",6,27,3
"52",6,28,3
"52",6,29,1
"52",6,30,3
"52",6,31,2
"52",6,32,2
"52",6,34,1
"52",6,35,1
"52",6,36,1
"52",6,37,1
"52",6,38,2
"52",6,39,2
"52",6,40,4
"52",6,41,3
"52",6,42,3
"52",6,47,1
"52",6,48,1
"52",6,49,1
"8",6,34,1
"8",6,35,1
"8",6,36,1
"1",7,2,1
"1",7,3,1
"1",7,4,1
"15",7,20,1
"15",7,21,1
"15",7,22,1
"15",7,31,1
"15",7,32,4
"15",7,33,5
"15",7,34,5
"15",7,35,2
"15",7,36,2
"15",7,37,3
"15",7,38,3
"15",7,39,2
"18",7,32,1
"18",7,33,1
"18",7,34,1
"18",7,37,1
"18",7,38,1
"18",7,39,1
"21",7,27,1
"21",7,28,1
"21",7,29,1
"21",7,31,1
"21",7,32,2
"21",7,33,2
"21",7,34,2
"21",7,35,1
"21",7,36,1
"26",7,29,1
"26",7,30,1
"26",7,31,1
"26",7,34,2
"26",7,35,2
"26",7,36,2
"28",7,26,1
"28",7,27,1
"28",7,28,3
"28",7,29,2
"28",7,30,3
"28",7,31,1
"28",7,32,4
"28",7,33,3
"28",7,34,6
"28",7,35,3
"28",7,36,3
"28",7,37,2
"28",7,38,2
"28",7,39,2
"28",7,43,1
"28",7,44,1
"28",7,45,1
"36",7,15,2
"36",7,16,3
"36",7,17,3
"36",7,18,1
"36",7,34,3
"36",7,35,3
"36",7,36,3
"36",7,37,1
"36",7,38,1
"36",7,39,1
"37",7,16,1
"37",7,17,1
"37",7,18,1
"37",7,31,1
"37",7,32,1
"37",7,33,1
"37",7,34,3
"37",7,35,3
"37",7,36,3
"37",7,37,1
"37",7,38,1
"37",7,39,1
"38",7,29,2
"38",7,30,2
"38",7,31,2
"4",7,23,1
"4",7,24,1
"4",7,25,1
"4",7,29,1
"4",7,30,1
"4",7,31,2
"4",7,32,5
"4",7,33,5
"4",7,34,10
"4",7,35,6
"4",7,36,7
"4",7,37,1
"4",7,38,1
"4",7,43,1
"4",7,44,1
"4",7,45,1
"40",7,18,1
"40",7,19,1
"40",7,20,1
"40",7,21,1
"40",7,22,1
"40",7,23,1
"40",7,28,1
"40",7,29,1
"40",7,30,1
"40",7,32,4
"40",7,33,4
"40",7,34,9
"40",7,35,5
"40",7,36,5
"40",7,37,1
"40",7,38,2
"40",7,39,2
"40",7,40,1
"40",7,43,1
"40",7,44,1
"40",7,45,1
"42",7,19,1
"42",7,20,1
"42",7,21,1
"42",7,32,1
"42",7,33,1
"42",7,34,1
"47",7,31,1
"47",7,32,1
"47",7,33,1
"5",7,23,1
"5",7,24,1
"5",7,25,1
"5",7,29,2
"5",7,30,2
"5",7,31,5
"5",7,32,6
"5",7,33,6
"5",7,34,8
"5",7,35,5
"5",7,36,5
"5",7,37,2
"5",7,38,2
"5",7,39,2
"51",7,26,1
"51",7,27,1
"51",7,28,1
"51",7,38,1
"51",7,39,2
"51",7,40,3
"51",7,41,2
"51",7,42,1
"51",7,47,1
"51",7,48,1
"51",7,49,1
"52",7,1,3
"52",7,2,5
"52",7,3,4
"52",7,4,3
"52",7,5,4
"52",7,6,4
"52",7,7,4
"52",7,8,2
"52",7,9,1
"52",7,10,2
"52",7,11,2
"52",7,12,3
"52",7,13,2
"52",7,14,6
"52",7,15,6
"52",7,16,10
"52",7,17,7
"52",7,18,9
"52",7,19,6
"52",7,20,5
"52",7,21,2
"52",7,22,4
"52",7,23,5
"52",7,24,6
"52",7,25,6
"52",7,26,9
"52",7,27,13
"52",7,28,14
"52",7,29,12
"52",7,30,10
"52",7,31,9
"52",7,32,9
"52",7,33,10
"52",7,34,9
"52",7,35,7
"52",7,36,5
"52",7,37,3
"52",7,38,5
"52",7,39,6
"52",7,40,8
"52",7,41,6
"52",7,42,9
"52",7,43,8
"52",7,44,10
"52",7,45,7
"52",7,46,10
"52",7,47,9
"52",7,48,6
"52",7,49,4
"52",7,50,7
"52",7,51,8
"52",7,52,6
"52",7,53,3
"1",8,37,1
"1",8,38,1
"1",8,39,1
"15",8,19,1
"15",8,20,1
"15",8,21,1
"15",8,23,3
"15",8,24,5
"15",8,25,5
"15",8,26,2
"15",8,27,1
"15",8,28,2
"15",8,29,2
"15",8,30,5
"15",8,31,4
"15",8,32,5
"15",8,33,2
"15",8,34,2
"15",8,35,1
"15",8,36,2
"15",8,37,2
"15",8,38,3
"15",8,39,1
"15",8,40,1
"18",8,27,2
"18",8,28,2
"18",8,29,2
"18",8,30,1
"18",8,31,1
"18",8,32,1
"18",8,37,1
"18",8,38,2
"18",8,39,3
"18",8,40,2
"18",8,41,1
"18",8,42,1
"18",8,43,1
"18",8,44,1
"21",8,19,1
"21",8,20,2
"21",8,21,2
"21",8,22,1
"21",8,25,1
"21",8,26,1
"21",8,27,3
"21",8,28,3
"21",8,29,3
"21",8,30,7
"21",8,31,8
"21",8,32,8
"21",8,33,2
"21",8,34,1
"21",8,35,1
"21",8,36,1
"21",8,37,1
"21",8,38,1
"21",8,39,1
"21",8,41,1
"21",8,42,1
"21",8,43,1
"28",8,24,1
"28",8,25,1
"28",8,26,2
"28",8,27,1
"28",8,28,1
"28",8,29,1
"28",8,30,1
"28",8,31,1
"28",8,36,2
"28",8,37,2
"28",8,38,2
"28",8,41,1
"28",8,42,1
"28",8,43,1
"35",8,19,1
"35",8,20,1
"35",8,21,1
"36",8,16,1
"36",8,17,1
"36",8,18,2
"36",8,19,1
"36",8,20,2
"36",8,21,1
"36",8,22,1
"36",8,24,1
"36",8,25,2
"36",8,26,2
"36",8,27,1
"37",8,15,1
"37",8,16,2
"37",8,17,3
"37",8,18,2
"37",8,19,1
"37",8,23,1
"37",8,24,1
"37",8,25,1
"37",8,26,1
"37",8,27,1
"37",8,28,1
"37",8,30,2
"37",8,31,2
"37",8,32,2
"37",8,34,1
"37",8,35,1
"37",8,36,3
"37",8,37,2
"37",8,38,2
"37",8,40,1
"37",8,41,2
"37",8,42,2
"37",8,43,2
"37",8,44,1
"37",8,45,1
"37",8,46,1
"37",8,47,1
"37",8,48,1
"38",8,23,2
"38",8,24,3
"38",8,25,7
"38",8,26,8
"38",8,27,9
"38",8,28,5
"38",8,29,3
"38",8,30,1
"38",8,31,3
"38",8,32,2
"38",8,33,3
"38",8,34,1
"38",8,35,1
"4",8,23,1
"4",8,24,1
"4",8,25,2
"4",8,26,2
"4",8,27,9
"4",8,28,9
"4",8,29,8
"4",8,30,9
"4",8,31,9
"4",8,32,12
"4",8,33,7
"4",8,34,10
"4",8,35,7
"4",8,36,8
"4",8,37,5
"4",8,38,6
"4",8,39,3
"4",8,40,2
"4",8,41,2
"4",8,42,1
"4",8,43,1
"4",8,44,1
"4",8,45,1
"4",8,46,1
"40",8,15,1
"40",8,16,1
"40",8,17,1
"40",8,20,1
"40",8,21,1
"40",8,22,1
"40",8,24,2
"40",8,25,3
"40",8,26,6
"40",8,27,6
"40",8,28,5
"40",8,29,2
"40",8,30,3
"40",8,31,4
"40",8,32,7
"40",8,33,7
"40",8,34,6
"40",8,35,3
"40",8,36,3
"40",8,37,3
"40",8,38,3
"40",8,40,1
"40",8,41,1
"40",8,42,2
"40",8,43,1
"40",8,44,1
"47",8,20,1
"47",8,21,2
"47",8,22,2
"47",8,23,1
"47",8,29,1
"47",8,30,2
"47",8,31,2
"47",8,32,1
"47",8,33,2
"47",8,34,3
"47",8,35,3
"47",8,36,1
"5",8,22,1
"5",8,23,3
"5",8,24,4
"5",8,25,6
"5",8,26,6
"5",8,27,11
"5",8,28,8
"5",8,29,7
"5",8,30,8
"5",8,31,10
"5",8,32,12
"5",8,33,5
"5",8,34,7
"5",8,35,4
"5",8,36,6
"5",8,37,2
"5",8,38,3
"5",8,39,1
"5",8,40,2
"5",8,41,2
"5",8,42,2
"5",8,43,1
"51",8,30,1
"51",8,31,1
"51",8,32,1
"51",8,35,1
"51",8,36,2
"51",8,37,2
"51",8,38,1
"52",8,1,5
"52",8,2,6
"52",8,3,7
"52",8,4,3
"52",8,5,3
"52",8,6,3
"52",8,7,4
"52",8,8,3
"52",8,9,2
"52",8,10,3
"52",8,11,6
"52",8,12,7
"52",8,13,9
"52",8,14,12
"52",8,15,15
"52",8,16,14
"52",8,17,9
"52",8,18,9
"52",8,19,7
"52",8,20,8
"52",8,21,3
"52",8,22,2
"52",8,23,6
"52",8,24,8
"52",8,25,11
"52",8,26,8
"52",8,27,16
"52",8,28,20
"52",8,29,23
"52",8,30,21
"52",8,31,21
"52",8,32,22
"52",8,33,23
"52",8,34,20
"52",8,35,23
"52",8,36,23
"52",8,37,25
"52",8,38,17
"52",8,39,11
"52",8,40,7
"52",8,41,7
"52",8,42,6
"52",8,43,6
"52",8,44,5
"52",8,45,6
"52",8,46,7
"52",8,47,12
"52",8,48,12
"52",8,49,14
"52",8,50,12
"52",8,51,14
"52",8,52,9
"52",8,53,6
"8",8,38,1
"8",8,39,1
"8",8,40,1
"15",9,21,1
"15",9,22,1
"15",9,23,1
"15",9,24,1
"15",9,25,2
"15",9,26,2
"15",9,27,4
"15",9,28,4
"15",9,29,5
"15",9,30,2
"15",9,31,1
"15",9,32,3
"15",9,33,3
"15",9,34,4
"15",9,35,1
"15",9,36,1
"18",9,21,1
"18",9,22,1
"18",9,23,1
"25",9,31,2
"25",9,32,4
"25",9,33,4
"25",9,34,2
"26",9,27,1
"26",9,28,1
"26",9,29,1
"26",9,33,1
"26",9,34,1
"26",9,35,1
"28",9,22,1
"28",9,23,2
"28",9,24,3
"28",9,25,3
"28",9,26,2
"28",9,27,1
"28",9,28,1
"28",9,29,1
